sku,_store,_attribute_set,_type,_category,_root_category,_product_websites,accessories_size,accessories_type,apparel_type,author_artist,bag_luggage_type,bedding_pattern,bed_bath_type,books_music_type,camera_megapixels,camera_type,color,cost,country_of_manufacture,created_at,custom_design,custom_design_from,custom_design_to,custom_layout_update,decor_type,description,electronic_type,fit,format,frame_style,gallery,gender,gendered,genre,gift_message_available,gift_wrapping_available,gift_wrapping_price,has_options,homeware_style,home_decor_type,image,image_label,jewelry_type,length,lens_type,luggage_size,luggage_style,luggage_travel_style,manufacturer,material,media_gallery,meta_description,meta_keyword,meta_title,minimal_price,msrp,msrp_display_actual_price_type,msrp_enabled,name,necklace_length,news_from_date,news_to_date,occasion,options_container,page_layout,price,required_options,shoe_size,shoe_type,short_description,size,sleeve_length,small_image,small_image_label,special_from_date,special_price,special_to_date,status,style,tax_class_id,thumbnail,thumbnail_label,updated_at,url_key,url_path,visibility,weight,width,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,_links_related_sku,_links_related_position,_links_crosssell_sku,_links_crosssell_position,_links_upsell_sku,_links_upsell_position,_associated_sku,_associated_default_qty,_associated_position,_tier_price_website,_tier_price_customer_group,_tier_price_qty,_tier_price_price,_group_price_website,_group_price_customer_group,_group_price_price,_media_attribute_id,_media_image,_media_lable,_media_position,_media_is_disabled,_custom_option_store,_custom_option_type,_custom_option_title,_custom_option_is_required,_custom_option_price,_custom_option_sku,_custom_option_max_characters,_custom_option_sort_order,_custom_option_row_title,_custom_option_row_price,_custom_option_row_sku,_custom_option_row_sort,_super_products_sku,_super_attribute_code,_super_attribute_option,_super_attribute_price_corr
msj005,,Clothing,simple,Men/Shirts,"Default Category",base,,,Shirts,,,,,,,,Blue,,,"2013-03-05 11:18:13",,,,,,"Tailored/Slim fit. Long sleeves. Button cuff. Cotton. Imported.",,Slim,,,,Male,,,,,,0,,,/m/s/msj003t_1.jpg,,,,,,,,,,,,,,,,"Use config","Use config","Slim fit Dobby Oxford Shirt",,,,Evening,"Product Info Column","1 column",175.0000,0,,,"A bold hue and understated dobby detail bring refined nuance to this modern dress shirt. ",L,"Long Sleeve",/m/s/msj003t_1.jpg,,,,,1,,2,/m/s/msj003t_1.jpg,,"2013-03-05 13:57:15",slim-fit-dobby-oxford-shirt,slim-fit-dobby-oxford-shirt-571.html,1,1.0000,," -3.0000",0.0000,1,0,0,1,1.0000,1,0.0000,1,0,,1,0,1,1,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,88,/m/s/msj003t_1.jpg,,1,0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,/m/s/msj003a_1.jpg,,2,0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,/m/s/msj003b_1.jpg,,3,0,,,,,,,,,,,,,,,,
msj006,,Clothing,simple,Men/Shirts,"Default Category",base,,,Shirts,,,,,,,,Charcoal,,,"2013-03-05 11:18:13",,,,,,"Available in Sharp fit. Refined collar. Button cuff. Cotton. Machine wash. Made in US.",,Sharp,,,,Male,,,,,,0,,,/m/s/msj006t_1.jpg,,,,,,,,,,,,,,,,"Use config","Use config","Plaid Cotton Shirt",,,,Casual,"Product Info Column","1 column",160.0000,0,,,"This everyday shirt is equally stylish with jeans or trousers.",S,"Long Sleeve",/m/s/msj006t_1.jpg,,,,,1,,2,/m/s/msj006t_1.jpg,,"2014-03-08 12:06:36",plaid-cotton-shirt,plaid-cotton-shirt.html,1,1.0000,,22.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,1,0,1,0,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,88,/m/s/msj006t_1.jpg,,1,0,,,,,,,,,,,,,,,,
,,,,Sale/Men,"Default Category",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
msj007,,Clothing,simple,Men/Shirts,"Default Category",base,,,Shirts,,,,,,,,Charcoal,,,"2013-03-05 11:18:13",,,,,,"Available in Sharp fit. Refined collar. Button cuff. Cotton. Machine wash. Made in US.",,Sharp,,,,Male,,,,,,0,,,/m/s/msj006t_2.jpg,,,,,,,,,,,,,,,,"Use config","Use config","Plaid Cotton Shirt",,,,Casual,"Product Info Column","1 column",160.0000,0,,,"This everyday shirt is equally stylish with jeans or trousers.",M,"Long Sleeve",/m/s/msj006t_2.jpg,,,,,1,,2,/m/s/msj006t_2.jpg,,"2014-03-08 12:08:22",plaid-cotton-shirt,plaid-cotton-shirt-572.html,1,1.0000,,25.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,1,0,1,0,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,88,/m/s/msj006b_1.jpg,,2,0,,,,,,,,,,,,,,,,
,,,,Sale/Men,"Default Category",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,/m/s/msj006t_2.jpg,,1,0,,,,,,,,,,,,,,,,
msj008,,Clothing,simple,Men/Shirts,"Default Category",base,,,Shirts,,,,,,,,Charcoal,,,"2013-03-05 11:18:13",,,,,,"Available in Sharp fit. Refined collar. Button cuff. Cotton. Machine wash. Made in US.",,Sharp,,,,Male,,,,,,0,,,/m/s/msj006t_3.jpg,,,,,,,,,,,,,,,,"Use config","Use config","Plaid Cotton Shirt",,,,Casual,"Product Info Column","1 column",160.0000,0,,,"This everyday shirt is equally stylish with jeans or trousers.",L,"Long Sleeve",/m/s/msj006t_3.jpg,,,,,1,,2,/m/s/msj006t_3.jpg,,"2014-03-08 12:09:03",plaid-cotton-shirt,plaid-cotton-shirt-573.html,1,1.0000,,25.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,1,0,1,0,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,88,/m/s/msj006t_3.jpg,,1,0,,,,,,,,,,,,,,,,
,,,,Sale/Men,"Default Category",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
msj009,,Clothing,simple,"Men/New Arrivals","Default Category",base,,,Tops,,,,,,,,Silver,,,"2013-03-05 11:18:13",,,,,,"Two button, single vented, notched lapels. Three buttons at cuff. Interior buttoned welt pockets. Full polyester lining. 100% wool. Dry clean.",,Slim,,,,Male,,,,,,0,,,/m/s/msj009t_1.jpg,,,,,,,,,,,,,,,,"Use config","Use config","Sullivan Sport Coat",,,,Career,"Product Info Column","1 column",510.0000,0,,,"This modern, slim-fit sport jacket is crafted from ultralight refined wool and tailored to a two-button silhouete. Corresponding trousers form a spring-season suit that you can wear whereever.",S,"Long Sleeve",/m/s/msj009t_1.jpg,,,,,1,,2,/m/s/msj009t_1.jpg,,"2014-03-08 12:12:59",oxford-sport-coat,oxford-sport-coat.html,1,1.0000,,0.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,0,,1,0,1,1,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,88,/m/s/msj009t_1.jpg,,1,0,,,,,,,,,,,,,,,,
,,,,Men/Blazers,"Default Category",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
msj010,,Clothing,simple,"Men/New Arrivals","Default Category",base,,,Tops,,,,,,,,Silver,,,"2013-03-05 11:18:13",,,,,,"Two button, single vented, notched lapels. Three buttons at cuff. Interior buttoned welt pockets. Full polyester lining. 100% wool. Dry clean.",,Slim,,,,Male,,,,,,0,,,/m/s/msj009t_2.jpg,,,,,,,,,,,,,,,,"Use config","Use config","Sullivan Sport Coat",,,,Career,"Product Info Column","1 column",510.0000,0,,,"This modern, slim-fit sport jacket is crafted from ultralight refined wool and tailored to a two-button silhouete. Corresponding trousers form a spring-season suit that you can wear whereever.",M,"Long Sleeve",/m/s/msj009t_2.jpg,,,,,1,,2,/m/s/msj009t_2.jpg,,"2014-03-08 12:13:22",oxford-sport-coat,oxford-sport-coat-472.html,1,1.0000,,25.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,1,0,1,0,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,88,/m/s/msj009a_1.jpg,,2,0,,,,,,,,,,,,,,,,
,,,,Men/Blazers,"Default Category",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,/m/s/msj009b_1.jpg,,3,0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,/m/s/msj009t_2.jpg,,1,0,,,,,,,,,,,,,,,,
msj011,,Clothing,simple,"Men/New Arrivals","Default Category",base,,,Tops,,,,,,,,Silver,,,"2013-03-05 11:18:13",,,,,,"Two button, single vented, notched lapels. Three buttons at cuff. Interior buttoned welt pockets. Full polyester lining. 100% wool. Dry clean.",,Slim,,,,Male,,,,,,0,,,/m/s/msj009t_3.jpg,,,,,,,,,,,,,,,,"Use config","Use config","Sullivan Sport Coat",,,,Career,"Product Info Column","1 column",510.0000,0,,,"This modern, slim-fit sport jacket is crafted from ultralight refined wool and tailored to a two-button silhouete. Corresponding trousers form a spring-season suit that you can wear whereever.",L,"Long Sleeve",/m/s/msj009t_3.jpg,,,,,1,,2,/m/s/msj009t_3.jpg,,"2014-03-08 12:13:53",oxford-sport-coat,oxford-sport-coat-473.html,1,1.0000,,25.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,1,0,1,0,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,88,/m/s/msj009t_3.jpg,,1,0,,,,,,,,,,,,,,,,
,,,,Men/Blazers,"Default Category",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
msj012,,Clothing,simple,Men/Blazers,"Default Category",base,,,Tops,,,,,,,,White,,,"2013-03-05 11:18:13",,,,,,"Single vented, notched lapels. Flap pockets. Tonal stitching. Fully lined. Linen. Dry clean.",,Sharp,,,,Male,,,,,,0,,,/m/s/msj012t_1.jpg,,,,,,,,,,,,,,,,"Use config","Use config","Linen Blazer",,,,Casual,"Product Info Column","1 column",455.0000,0,,,"In airy lightweight linen, this blazer is classic tailoring with a warm weather twist.",S,"Long Sleeve",/m/s/msj012t_1.jpg,,,,,1,,2,/m/s/msj012t_1.jpg,,"2013-03-05 13:57:15",linen-blazer,linen-blazer.html,1,1.0000,,5.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,1,0,1,0,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,88,/m/s/msj012a_1.jpg,,2,0,,,,,,,,,,,,,,,,
msj013,,Clothing,simple,Men/Blazers,"Default Category",base,,,Tops,,,,,,,,White,,,"2013-03-05 11:18:13",,,,,,"Single vented, notched lapels. Flap pockets. Tonal stitching. Fully lined. Linen. Dry clean.",,Sharp,,,,Male,,,,,,0,,,/m/s/msj012t_1.jpg,,,,,,,,,,,,,,,,"Use config","Use config","Linen Blazer",,,,Casual,"Product Info Column","1 column",455.0000,0,,,"In airy lightweight linen, this blazer is classic tailoring with a warm weather twist.",M,"Long Sleeve",/m/s/msj012t_1.jpg,,,,,1,,2,/m/s/msj012t_1.jpg,,"2013-03-05 13:57:15",linen-blazer,linen-blazer-578.html,1,1.0000,,24.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,1,0,1,0,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,88,/m/s/msj012t_1.jpg,,1,0,,,,,,,,,,,,,,,,
msj014,,Clothing,simple,Men/Blazers,"Default Category",base,,,Tops,,,,,,,,White,,,"2013-03-05 11:18:13",,,,,,"Single vented, notched lapels. Flap pockets. Tonal stitching. Fully lined. Linen. Dry clean.",,Sharp,,,,Male,,,,,,0,,,/m/s/msj012t_1.jpg,,,,,,,,,,,,,,,,"Use config","Use config","Linen Blazer",,,,Casual,"Product Info Column","1 column",455.0000,0,,,"In airy lightweight linen, this blazer is classic tailoring with a warm weather twist.",L,"Long Sleeve",/m/s/msj012t_1.jpg,,,,,1,,2,/m/s/msj012t_1.jpg,,"2013-03-05 13:57:15",linen-blazer,linen-blazer-579.html,1,1.0000,,23.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,1,0,1,0,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
msj015,,Clothing,simple,Men/Blazers,"Default Category",base,,,Tops,,,,,,,,Blue,,,"2013-03-05 11:18:13",,,,,,"Two button, single vented, notched lapels. Slim cut through the shoulders chest and waist. Flap pockets, welt inside chest pockets. Cotton/lycra. Dry clean.",,Slim,,,,Male,,,,,,0,,,/m/s/msj015t_2.jpg,,,,,,,,,,,,,,,,"Use config","Use config","Stretch Cotton Blazer",,,,Evening,"Product Info Column","1 column",490.0000,0,,,"Sleek and modern, our form flattering blazer carries a slightly relaxed, yet structured shape. Timeless in any time zone.",S,"Long Sleeve",/m/s/msj015t_2.jpg,,,,,1,,2,/m/s/msj015t_2.jpg,,"2014-03-08 12:17:56",stretch-cotton-blazer,stretch-cotton-blazer.html,1,1.0000,,25.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,1,0,1,0,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,88,/m/s/msj015t_2.jpg,,1,0,,,,,,,,,,,,,,,,
msj016,,Clothing,simple,Men/Blazers,"Default Category",base,,,Tops,,,,,,,,Blue,,,"2013-03-05 11:18:13",,,,,,"Two button, single vented, notched lapels. Slim cut through the shoulders chest and waist. Flap pockets, welt inside chest pockets. Cotton/lycra. Dry clean.",,Slim,,,,Male,,,,,,0,,,/m/s/msj015t_3.jpg,,,,,,,,,,,,,,,,"Use config","Use config","Stretch Cotton Blazer",,,,Evening,"Product Info Column","1 column",490.0000,0,,,"Sleek and modern, our form flattering blazer carries a slightly relaxed, yet structured shape. Timeless in any time zone.",M,"Long Sleeve",/m/s/msj015t_3.jpg,,,,,1,,2,/m/s/msj015t_3.jpg,,"2014-03-08 12:18:20",stretch-cotton-blazer,stretch-cotton-blazer-580.html,1,1.0000,,25.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,1,0,1,0,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,88,/m/s/msj015t_3.jpg,,1,0,,,,,,,,,,,,,,,,
msj017,,Clothing,simple,Men/Blazers,"Default Category",base,,,Tops,,,,,,,,Blue,,,"2013-03-05 11:18:13",,,,,,"Two button, single vented, notched lapels. Slim cut through the shoulders chest and waist. Flap pockets, welt inside chest pockets. Cotton/lycra. Dry clean.",,Slim,,,,Male,,,,,,0,,,/m/s/msj015t_4.jpg,,,,,,,,,,,,,,,,"Use config","Use config","Stretch Cotton Blazer",,,,Evening,"Product Info Column","1 column",490.0000,0,,,"Sleek and modern, our form flattering blazer carries a slightly relaxed, yet structured shape. Timeless in any time zone.",L,"Long Sleeve",/m/s/msj015t_4.jpg,,,,,1,,2,/m/s/msj015t_4.jpg,,"2014-03-08 12:18:41",stretch-cotton-blazer,stretch-cotton-blazer-581.html,1,1.0000,,25.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,1,0,1,0,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,88,/m/s/msj015t_4.jpg,,1,0,,,,,,,,,,,,,,,,
mtk000,,Clothing,simple,"Men/Tees, Knits and Polos","Default Category",base,,,Tees,,,,,,,,Blue,,,"2013-03-05 11:18:13",,,,,,"Ultrasoft, lightweight V-neck tee. 100% cotton. Machine wash.",,Slim,,,,Male,,,,,,0,,,/m/t/mtk000t_3.jpg,,,,,,,,,,,,,,,,"Use config","Use config","Chelsea Tee",,,,Casual,"Product Info Column","1 column",75.0000,0,,,"Minimalist style and maximum comfort meet in this lightweight tee.",S,"Short Sleeve",/m/t/mtk000t_3.jpg,,,,,1,,2,/m/t/mtk000t_3.jpg,,"2014-03-08 12:28:09",chelsea-tee,chelsea-tee.html,1,1.0000,,24.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,1,0,1,0,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,88,/m/t/mtk000t_3.jpg,,1,0,,,,,,,,,,,,,,,,
mtk001,,Clothing,simple,"Men/Tees, Knits and Polos","Default Category",base,,,Tees,,,,,,,,Blue,,,"2013-03-05 11:18:13",,,,,,"Ultrasoft, lightweight V-neck tee. 100% cotton. Machine wash.",,Slim,,,,Male,,,,,,0,,,/m/t/mtk000t_4.jpg,,,,,,,,,,,,,,,,"Use config","Use config","Chelsea Tee",,,,Casual,"Product Info Column","1 column",75.0000,0,,,"Minimalist style and maximum comfort meet in this lightweight tee.",M,"Short Sleeve",/m/t/mtk000t_4.jpg,,,,,1,,2,/m/t/mtk000t_4.jpg,,"2014-03-08 12:29:32",chelsea-tee,chelsea-tee-696.html,1,1.0000,,23.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,1,0,1,0,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,88,/m/t/mtk000b_1.jpg,,3,0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,/m/t/mtk000t_4.jpg,,1,0,,,,,,,,,,,,,,,,
